ProgramId,Program_Name,Program_link,Tailored_To,Available_In,Genre,Region,Description
16113,ICAP: Intercultural Citizenship Ambassador Program,https://education.culturalinfusion.com/school-programs/icap/,Schools,VIC,"Exploring Identity, Global Citizenship, Inclusion, Storytelling, Wellbeing",Multicultural,"A flexible 4- or 8-week program for Years 7-8, ICAP builds cultural awareness, empathy, and self-esteem through interactive, facilitated sessions. Students explore identity, belonging, intersectionality, and global citizenship while fostering inclusive classrooms. Schools also receive a free Atlas membership, giving students access to interactive analytics that showcase their school’s cultural diversity—supporting learning across ICAP and the Modern Global Parliament. Program Outline 1. Welcome to ICAP – Co-create behaviour agreements, spark curiosity, and celebrate diversity. 2. Identity – Explore heritage and uncover hidden cultural layers. 3. Empathy & Belonging – Reflect on inclusion through games and scenarios. 4. Self-Esteem – Identify values and build emotional intelligence. 5. Intersectionality – Use Cultural Infusion’s Atlas to challenge stereotypes and celebrate diversity. 6. Create a World – Design unique cultures, fostering creativity and teamwork. 7. Interfaith Insights – Engage with interfaith presenters to broaden perspectives. 8. Model World Parliament – Apply intercultural skills in a mock global forum. Pricing $4,000 (eight × 90-minute sessions) **Fully government-funded for government schools in VIC**"
16107,Buddhist Chanting and Mindfulness Through Song,https://education.culturalinfusion.com/school-programs/buddhist-chanting/,"Community, Schools",NSW,"Music, Wellbeing",Asia,"Through this interactive workshop, students are introduced to the role of chanting and song in Buddhist traditions and how these practices cultivate mindfulness, compassion, and wellbeing. Melanie performs traditional chants and songs before guiding students to try simple chants together and even co-create their own based on values such as kindness and respect. Alongside the music, students learn about the Buddha’s teachings and their contemporary relevance to wellbeing and community."
16095,Rhythms and Movements of Newar Culture,https://education.culturalinfusion.com/school-programs/newar-culture/,"Assemblies & Events, Community, Corporate, Pre Primary, Schools",VIC,"Dance, Music, Visual Arts",Asia,"Experience the vibrant sounds and dynamic rhythms of Newar culture through a lively workshop that combines traditional music and dance from Nepal. Participants will be introduced to the dhime, a powerful twin-headed drum used in rituals and celebrations; the bansuri, a soothing bamboo flute known for its melodic tones; and traditional Newari dance, rich in storytelling and cultural symbolism. This interactive session includes live performance, cultural background and hands-on participation, giving everyone a chance to experience rhythms and movements."
16070,Chinese Rubbing Art,https://education.culturalinfusion.com/school-programs/chinese-rubbing-art/,"Community, Pre Primary, Schools",VIC,"Storytelling, Visual Arts",Asia,"Rubbing is perhaps one of the oldest techniques in printmaking. Created by carefully pressing paper onto a carved or textured surface, this traditional technique is used to copy designs and texts from stone, metal or wood. Believed to be originated in East Asia and practised in China as early as nearly 2,000 years ago, rubbing was primarily used for reproducing ancient inscriptions, calligraphy and relief carvings, preserving artworks and histories. Let’s explore the cultural and historical significance behind this intriguing technique by making some rubbing art together to appreciate the beauty of Chinese artwork in this hands-on workshop!"
16059,The Dragon and the Chinese Zodiac,https://education.culturalinfusion.com/school-programs/chinese-zodiac/,"Community, Pre Primary, Schools",VIC,"Storytelling, Visual Arts",Asia,"The story of the 12 Chinese Zodiac animals has a long and rich history, with every person having their own Zodiac sign based on their birth year. Among those 12 animals, the Chinese dragon stands out as a mystical, powerful creature that exists in imagination only, yet can be found everywhere within Chinese culture, from legends to idioms, and even to art! Representing power, benevolence and good fortune, dragons are deeply rooted in the Chinese culture. In this workshop, explore how dragons continue to inspire joy through dragon dance demonstrations, crafts-making, and storytelling about the Zodiac animals."
16048,Chinese Wushu and the Monkey King,https://education.culturalinfusion.com/school-programs/chinese-wushu-and-the-monkey-king/,"Community, Pre Primary, Schools",VIC,"Martial Arts, Storytelling, Wellbeing",Asia,"Chinese martial arts, also known as wushu, consists of the rich tradition of combat techniques, philosophy, and health practices that developed over more than 4,000 years. Wushu embodies the harmony of Yin and Yang and promotes the Martial Virtues, such as humility, integrity, respect, and discipline. In this workshop, students will enjoy a dynamic demonstration and interactive practice session involving Taichi (Taiji) and ancient sword skills. They’ll also meet the beloved Monkey King from the classic tale of ‘Journey to the West’ and see how he learns wushu on his path to becoming a legendary hero! *Schools have the option to enhance this experience by booking an additional session of Chinese Shadow Puppetry, where the story of ‘Journey of the West’ will be brought to life through puppetry!"
15957,Ghana Road Show – For a limited time only!,https://education.culturalinfusion.com/school-programs/ghana-road-show/,"Assemblies & Events, Community, Schools",NSW,"Dance, Inclusion, Music, Storytelling, Theatre, Visual Arts",Africa,"Bring a piece of Ghana to your school and give your students a unique opportunity to learn about the rich Ghanaian cultural heritage from this dynamic live performance workshop! Students will be introduced to traditional West African acrobatics, circus skills, music and storytelling, and build physical confidence and teamwork through hands-on activities such as group balance, ball juggling and pan spinning! Featuring acclaimed artists from Ghana, juggler and circus performer Mutala, dancer and circus performer Adjei, as well as Lucky, a Ghana-born dancer and percussionist based in Sydney, the students will surely enjoy the vibrant energy of West Africa in this interactive workshop. Book fast, as this workshop is available exclusively in August and September 2025!"
15788,Cultural Infusion Atlas for Schools,https://education.culturalinfusion.com/school-programs/cultural-infusion-atlas-for-schools/,Schools,"ACT, NSW, QLD, SA, VIC, Virtual, WA","Exploring Identity, Global Citizenship, Inclusion, Wellbeing","Africa, Asia, Europe, Middle East, Multicultural, North America, South America","Bring your school’s cultural story to life! Imagine showing your students just how diverse and unique your school community really is. The Cultural Infusion Atlas for Schools is a world-first program that uses interactive data and vibrant visualisations to help schools explore, celebrate, and learn from their own diversity. Already used by leading organisations worldwide — from Carers Victoria to Amazon Web Services — this powerful tool is now available for schools. Why schools love the Atlas ✔️ Celebrates diversity – Students see their own identities represented and learn about those around them. ✔️ Promotes global citizenship – Aligned with the UN Sustainable Development Goal 4.7, helping students build skills to thrive in a multicultural world. ✔️ Curriculum-ready – Comes with lesson plans and activities that bring the data to life in the classroom. ✔️ Exclusive recognition – Earn your school’s “Mapped & Measured” badge to showcase your commitment to inclusion. ✔️ Extra resources – Get free access to our Learning Lands platform, packed with cultural education materials. How it works Students and staff complete a quick, secure survey. Your school receives real-time, interactive insights showing the languages, cultures, and traditions that make your community unique. Teachers use the ready-to-go lesson plans to spark conversations and build intercultural understanding across year levels. Get involved 🎓 Pilot Program (FREE, limited spots, Term 4 2025) Be among the first schools in Australia to experience this groundbreaking program. 📅 General Access (Term 1 2026 onwards) Available to schools nationwide. 👉 Apply now to secure your place!"
15736,Maloyan Infusion,https://education.culturalinfusion.com/school-programs/maloya-infusion/,"Assemblies & Events, Community, Pre Primary, Schools",WA,"Dance, Music",Africa,"Maloya is a traditional Creole music and dance form originating from Réunion Island in the Indian Ocean. It was born out of the cultural heritage of African, Malagasy, and Indian indentured labourers brought to the island, often as an expression of resilience and a means of storytelling. The genre features rhythmic beats, call-and-response singing, and expressive dance, involving instruments such as the roulèr (bass drum), kayamb (a shaker made from sugar cane and seeds), and pikèr (bamboo). This workshop is designed to immerse participants in the cultural richness of Maloya, with activities adapted for different age groups."
15728,Chinese Infusion,https://education.culturalinfusion.com/school-programs/chinese-infusion/,"Community, Pre Primary, Schools",VIC,"Martial Arts, Music, Storytelling, Visual Arts",Asia,"This engaging workshop takes participants on a musical journey through China, exploring customs such as Tai Chi, calligraphy, and storytelling. Led by Ting, a classically trained musician and performer, the session features fascinating ancient instruments including the Chinese mouth organ, hulisi, flute, fiddle, lute, and percussion such as drums, gongs, and cymbals. Students will hear the unique sounds of each instrument while learning about the diversity and history of Chinese culture."
